Employee ID,Role,Hourly/Salary,# of Badges,Badges,Years at Company,Visited page,Recommended page
D123462,CBEX Associate,Salary,4,"Banking Foundations, Risk Management, Jira Master, Microservices",6,"3,4",3
D123469,CBEX Associate,Salary,4,"Banking Foundations, Risk Management, Jira Master, Microservices",4,"3,4",3
D123476,CBEX Associate,Salary,4,"Banking Foundations, Risk Management, Jira Master, Microservices",6,"3,4",3
D123483,CBEX Associate,Salary,4,"Banking Foundations, Risk Management, Jira Master, Microservices",4,"3,1",3
D123490,CBEX Associate,Salary,4,"Banking Foundations, Risk Management, Jira Master, Microservices",6,"3,1",3
D123497,CBEX Associate,Salary,4,"Banking Foundations, Risk Management, Jira Master, Microservices",4,"3,1",3
D123504,CBEX Associate,Salary,4,"Banking Foundations, Risk Management, Jira Master, Microservices",16,"3,1",3
D123508,CBEX Associate,Salary,3,"Microservices, Risk Management, Agile Master",5,"3,8",3
D123512,CBEX Associate,Salary,2,"Banking Foundations, Microservices",2,"3,1",3
D123519,CBEX Associate,Salary,2,"Banking Foundations, Microservices",2,"3,6",3
D123526,CBEX Associate,Hourly,2,"Banking Foundations, Microservices",2,"3,2",3
D123533,CBEX Associate,Salary,2,"Banking Foundations, Microservices",2,"3,5",3
D123540,CBEX Associate,Salary,3,"Banking Foundations, Microservices, Risk Management",22,"3,4",3
D123547,CBEX Associate,Salary,2,"Banking Foundations, Microservices",2,"3,1",3
D123554,CBEX Associate,Salary,2,"Banking Foundations, Microservices",2,"3,1",3
D123561,CBEX Associate,Hourly,2,"Banking Foundations, Microservices",2,"3,2",3
D123460,Cloud Engineer,Salary,2,"AWS Apprentice, Risk Management",5,"5,4",5
D123467,Cloud Engineer,Hourly,1,AWS Apprentice,3,"5,2",5
D123474,Cloud Engineer,Salary,2,"AWS Apprentice, Risk Management",4,"5,4",5
D123481,Cloud Engineer,Salary,1,AWS Apprentice,3,"5,1",5
D123488,Cloud Engineer,Salary,1,AWS Apprentice,4,"5,1",5
D123495,Cloud Engineer,Salary,1,AWS Apprentice,3,"5,1",5
D123502,Cloud Engineer,Salary,2,"AWS Apprentice, Risk Management",4,"5,1",5
D123505,Cloud Engineer,Salary,2,"AWS Apprentice, Jira Master",2,"5,1",5
D123515,Cloud Engineer,Salary,3,"AWS Apprentice, Jira Master, Microservices",4,"5,8",5
D123522,Cloud Engineer,Salary,3,"AWS Apprentice, Jira Master, Microservices",4,"5,1",5
D123529,Cloud Engineer,Hourly,3,"AWS Apprentice, Jira Master, Microservices",4,"5,2",5
D123536,Cloud Engineer,Salary,3,"AWS Apprentice, Jira Master, Microservices",14,"5,1",5
D123543,Cloud Engineer,Hourly,3,"AWS Apprentice, Jira Master, Microservices",4,"5,2",5
D123550,Cloud Engineer,Salary,3,"AWS Apprentice, Jira Master, Microservices",4,"5,1",5
D123557,Cloud Engineer,Salary,3,"AWS Apprentice, Jira Master, Microservices",4,"5,1",5
D123458,Data Analyst,Salary,2,"Data Visualization, Banking Foundations",4,"5,3",5
D123465,Data Analyst,Salary,2,"Data Visualization, Banking Foundations",12,"5,3",5
D123472,Data Analyst,Salary,2,"Data Visualization, Banking Foundations",4,"5,3",5
D123479,Data Analyst,Salary,2,"Data Visualization, Banking Foundations",2,"5,3",5
D123486,Data Analyst,Salary,2,"Data Visualization, Banking Foundations",4,"5,3",5
D123493,Data Analyst,Salary,2,"Data Visualization, Banking Foundations",2,"5,3",5
D123500,Data Analyst,Salary,2,"Data Visualization, Banking Foundations",4,"5,3",5
D123506,Data Analyst,Salary,2,"Data Visualization, Banking Foundations",3,"5,3",5
D123513,Data Analyst,Hourly,1,Data Visualization,4,"5,2",5
D123520,Data Analyst,Salary,1,Data Visualization,3,"5,1",5
D123527,Data Analyst,Hourly,1,Data Visualization,3,"5,2",5
D123534,Data Analyst,Salary,1,Data Visualization,3,"5,1",5
D123541,Data Analyst,Salary,1,Data Visualization,3,"5,1",5
D123548,Data Analyst,Salary,1,Data Visualization,13,"5,1",5
D123555,Data Analyst,Salary,2,"Data Visualization, Risk Management",3,"5,4",5
D123461,HR Associate,Salary,1,Risk Management,3,"7,4",7
D123468,HR Associate,Salary,1,Risk Management,5,"7,4",7
D123475,HR Associate,Salary,2,"Risk Management, Jira Master",3,"7,4",7
D123482,HR Associate,Salary,1,Risk Management,5,"7,4",7
D123489,HR Associate,Salary,1,Risk Management,3,"7,4",7
D123496,HR Associate,Salary,2,"Risk Management, Jira Master",5,"7,4",7
D123503,HR Associate,Salary,1,Risk Management,3,"7,4",7
D123510,HR Associate,Salary,2,"Risk Management, Jira Master",13,"7,4",7
D123517,HR Associate,Salary,1,Risk Management,5,"7,4",7
D123524,HR Associate,Salary,1,Risk Management,5,"7,4",7
D123531,HR Associate,Salary,2,"Risk Management, Jira Master",5,"7,4",7
D123538,HR Associate,Salary,2,"Jira Master, Risk Management",5,"7,4",7
D123545,HR Associate,Hourly,1,Jira Master,5,"7,2",7
D123552,HR Associate,Salary,1,Jira Master,5,"7,4",7
D123559,HR Associate,Salary,2,"Jira Master, Risk Management",5,"7,4",7
D123459,Innovation Manager,Salary,2,"Risk Management, Agile Master",5,"6,8",6
D123466,Innovation Manager,Salary,2,"Agile Master, Jira Master",4,"6,8",6
D123473,Innovation Manager,Salary,1,Agile Master,5,"6,8",6
D123480,Innovation Manager,Hourly,1,Jira Master,4,"6,2",6
D123487,Innovation Manager,Salary,2,"Agile Master, Jira Master",5,"6,8",6
D123494,Innovation Manager,Salary,2,"Agile Master, Jira Master",4,"6,8",6
D123501,Innovation Manager,Salary,1,Jira Master,15,"6,1",6
D123507,Innovation Manager,Salary,1,Risk Management,4,"6,1",6
D123514,Innovation Manager,Salary,2,"Risk Management, Data Visualization",5,"6,4",6
D123521,Innovation Manager,Salary,1,Risk Management,5,"6,4",6
D123528,Innovation Manager,Hourly,2,"Agile Master, Risk Management",5,"6,2",6
D123535,Innovation Manager,Salary,1,Risk Management,5,"6,4",6
D123542,Innovation Manager,Salary,1,Risk Management,5,"6,4",6
D123549,Innovation Manager,Salary,1,Risk Management,5,"6,4",6
D123556,Innovation Manager,Salary,1,Risk Management,5,"6,4",6
D123456,Scrum Master,Hourly,2,"Agile Master, Jira Master",3,"8,2",8
D123463,Scrum Master,Hourly,2,"Agile Master, Jira Master",2,"8,2",8
D123470,Scrum Master,Hourly,2,"Agile Master, Jira Master",3,"8,2",8
D123477,Scrum Master,Hourly,2,"Agile Master, Jira Master",2,"8,2",8
D123484,Scrum Master,Hourly,2,"Agile Master, Jira Master",3,"8,2",8
D123491,Scrum Master,Hourly,2,"Agile Master, Jira Master",1,"8,2",8
D123498,Scrum Master,Hourly,2,"Agile Master, Jira Master",3,"8,2",8
D123509,Scrum Master,Hourly,1,Agile Master,4,"8,2",8
D123516,Scrum Master,Hourly,1,Agile Master,3,"8,2",8
D123523,Scrum Master,Hourly,1,Agile Master,3,"8,2",8
